               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12591,            0.099548,             0.05117,           0.0068605,             0.15224,           0.0036647,          0.00081197,             0.11951,             0.12094,            0.049203,              0.0964,              0.0004,              0.0004
                   1,             0.12291,             0.10402,               0.048,            0.021668,             0.21284,            0.015509,           0.0044361,             0.11249,             0.14224,             0.04474,            0.091855,          0.00085545,          0.00085545
                   2,             0.11621,             0.12491,            0.042452,            0.016476,             0.26912,            0.023019,           0.0039089,             0.10589,             0.15188,            0.038906,            0.087261,           0.0012614,           0.0012614
                   3,             0.10767,             0.12543,            0.036172,            0.027205,             0.13203,            0.050462,            0.010117,              0.1002,             0.14884,            0.033577,            0.082618,           0.0016178,           0.0016178
                   4,             0.10296,             0.12478,            0.032165,             0.40926,            0.080087,            0.062716,             0.01494,            0.092872,              0.1244,            0.026634,            0.077925,           0.0019248,           0.0019248
                   5,             0.09838,             0.10977,            0.027016,             0.42217,            0.053483,            0.040969,            0.013788,            0.092244,             0.11122,            0.022515,            0.073182,           0.0021823,           0.0021823
                   6,             0.09459,             0.10785,            0.023179,            0.054825,             0.11255,            0.031987,           0.0076737,            0.097441,             0.12962,            0.018714,             0.06839,           0.0023902,           0.0023902
                   7,            0.090064,            0.097161,            0.020191,             0.73342,            0.088745,            0.048358,            0.013169,             0.09246,             0.13717,              0.0172,            0.063549,           0.0025486,           0.0025486
                   8,            0.085277,              0.1036,            0.017895,             0.74853,              0.1342,            0.072581,            0.019788,            0.082944,             0.14937,            0.015962,            0.058658,           0.0026576,           0.0026576
                   9,            0.080642,             0.09991,            0.017604,               0.777,             0.15584,             0.10118,            0.032475,            0.077265,             0.13826,            0.015475,            0.053717,           0.0027171,           0.0027171
                  10,            0.076561,            0.091797,            0.016102,             0.78534,             0.11688,             0.10405,            0.036104,            0.074634,             0.11842,            0.015142,            0.048727,            0.002727,            0.002727
                  11,            0.076343,             0.09373,            0.015746,             0.80958,             0.17749,             0.16732,            0.059259,            0.071691,             0.10735,            0.014898,            0.043687,           0.0026875,           0.0026875
                  12,            0.073547,            0.098389,            0.015673,             0.76963,             0.17965,             0.13034,            0.039951,            0.074247,             0.10939,            0.014813,            0.038598,           0.0025984,           0.0025984
                  13,            0.070653,             0.09231,            0.015678,             0.82029,             0.18182,             0.19259,            0.070344,            0.076958,             0.10666,            0.014611,             0.03346,           0.0024598,           0.0024598
                  14,            0.068311,            0.098567,            0.013986,             0.80974,             0.18831,             0.26127,            0.085632,            0.077135,             0.10756,            0.014472,            0.028272,           0.0022718,           0.0022718
                  15,            0.067825,            0.092404,            0.016753,             0.84856,             0.19481,             0.29353,             0.14051,            0.055884,            0.099917,            0.014391,            0.023034,           0.0020343,           0.0020343
                  16,            0.065203,            0.099692,            0.014218,             0.86636,             0.20377,             0.33741,             0.17006,             0.05354,            0.099448,            0.014276,            0.017747,           0.0017472,           0.0017472
                  17,            0.060419,            0.092597,            0.014695,             0.81632,             0.19222,             0.29519,             0.14218,            0.062809,             0.10167,             0.01421,            0.012411,           0.0014107,           0.0014107
                  18,            0.059804,             0.09503,            0.015097,             0.87488,             0.21212,             0.34846,             0.18543,            0.051357,            0.094752,            0.014172,           0.0070246,           0.0010246,           0.0010246
                  19,            0.056382,            0.090604,             0.01456,             0.87177,             0.22294,             0.37827,             0.20692,             0.05141,             0.09301,            0.014116,           0.0015891,          0.00058905,          0.00058905
